Mandarin,English,Spanish
料,material,material
源,source,fuente
裝,Pack,Embalar
透,through,a través de
既,now that,ahora que
逐,chase,perseguir
養,keep,mantener
修,build,construir
烈,strong,fuerte
眠,sleep,dormir
睡,sleep,dormir
紙,Paper,Papel
貴,expensive,caro
靠,Depend on,Depender de
戲,play,jugar
拿,take,llevar
歸,return,devolver
狀,shape,forma
企,enterprise,empresa
列,List,Lista
忍,Tolerate,Tolerar
潮,tide,marea
私,private,privado
訊,News,Noticias
遇,encounter,encontrar
型,type,tipo
堅,firm,firme
沙,sand,arena
亂,chaos,caos
差,Difference,Diferencia
採,Pick,Elegir
腦,brain,cerebro
漫,comic,cómic
窗,window,ventana
菜,vegetable,verdura
掉,Lose,Perder
脂,fat,gordo
唱,Sing,Cantar
惡,evil,demonio
抱,hug,abrazo
漢,Chinese,Chino
雄,male,masculino
察,inspect,inspeccionar
擁,possess,poseer
童,child,niño
端,end,fin
里,inside,adentro
戀,love,amar
概,Overview,Descripción general
餘,Remain,Permanecer
肯,Ken,Conocido
速,speed,velocidad
酒,liquor,espíritu
慮,consider,considerar
互,mutual,mutual
威,power,fuerza
憶,recall,recordar
洲,continent,continente
禮,present,presente
訪,visit,visita
默,silent,silencioso
剛,Just,Justo
恐,fear,miedo
戶,household,familiar
模,mold,moho
激,exciting,emocionante
蛋,Egg,Huevo
迷,fan,admirador
露,dew,rocío
典,classic,clásico
疑,suspect,sospechar
遊,tour,recorrido
勞,labor,mano de obra
妳,you,tú
岸,shore,costa
忙,busy,ocupado
武,Wu,Wu
防,Defend,Defender
升,Lift,Elevar
患,suffer from,padecer
掌,Palm,Palmera
織,weave,tejer
趣,interest,interés
努,Nu,Nu
授,teach,enseñar
握,grip,agarre
江,River,Río
沈,sink,hundir
險,risk,riesgo
午,noon,mediodía
塊,piece,pedazo
遍,all over,por todas partes
錯,wrong,equivocado
煙,cigarette,cigarrillo
移,shift,cambio
範,Fan,Admirador
危,Danger,Peligro
症,disease,enfermedad
缺,lack,falta
避,avoid,evitar
陣,Array,Formación
着,With,Con
鐵,iron,hierro
鞋,shoe,zapato
額,Forehead,Frente
屋,Room,Habitación
左,Left,Izquierda
檳,Penang,Penang
脫,take off,despegar
舞,dance,bailar
途,way,forma
乃,So,Entonces
座,seat,asiento
純,pure,puro
補,repair,reparar
遺,legacy,legado
哥,elder brother,hermano mayor
店,shop,comercio
探,explore,explorar
榔,palm,palmera
玩,Play,Jugar
衝,rush,correr
章,chapter,capítulo
吸,suck,chupar
圍,surround,rodear
席,seat,asiento
羅,Luo,luo
予,give,dar
周,week,semana
暗,dark,oscuro
爸,dad,papá
票,ticket,boleto
賣,Sell,Vender
寂,lonely,solitario
波,Wave,Ola
狂,mad,enojado
禁,ban,prohibición
豪,Hao,hao
擇,select,seleccionar
田,field,campo
紛,riot,disturbio
莫,Mo,Mes
閒,idle,inactivo
頓,Dayton,Dayton
徵,levy,exacción
括,include,incluir
析,analyze,analizar
淚,tear,lágrima
略,slightly,levemente
觸,touch,tocar
減,reduce,reducir
肉,Meat,Carne
鐘,bell,campana
順,Shun,Rehuir
隱,hidden,oculto
亡,Death,Muerte
央,central,central
尊,respect,respeto
弟,younger brother,hermano menor
批,batch,lote
擊,hit,golpear
棄,abandoned,abandonado
淡,light,luz
湖,lake,lago
藉,borrow,pedir prestado
降,drop,gota
頁,Page,Página
副,vice,vicio
彩,color,color
揮,wave,ola
熟,Ripe,Maduro
束,bundle,manojo
療,treatment,tratamiento
練,practice,práctica
翻,turn,doblar
虎,Tiger,Tigre
享,Enjoy,Disfrutar
含,Contains,Contiene
延,extend,extender
慢,slow,lento
憂,worry,preocuparse
折,fold,doblar
製,system,sistema
頂,top,arriba
傾,pour,derramar
劃,row,fila
尚,still,aún
稅,Tax,Impuesto
蕭,Xiao,xiao
壞,bad,malo
志,ambition,ambición
怪,Strange,Extraño
普,general,general
洋,foreign,extranjero
誠,Sincerity,Sinceridad
謝,Thanks,Gracias
鮮,fresh,fresco
偶,even,incluso
優,excellent,excelente
彈,bomb,bomba
榮,glory,gloria
錄,record,registro
乾,Dry,Seco
冰,ice,hielo
詞,word,palabra
雪,Snow,Nieve
孤,solitary,solitario
您,you,tú
智,wisdom,sabiduría
索,So,Entonces
酸,acid,ácido
繁,Traditional,Tradicional
蘇,Su,Su
釋,release,liberar
針,Needle,Aguja
厚,thick,grueso
圓,round,redondo
惜,Cherish,Apreciar
救,save,ahorrar
沉,sink,hundir
祖,Ancestor,Antepasado
跳,Jump,Saltar
髮,hair,cabello
序,sequence,secuencia
毒,poison,veneno
浮,float,flotar
訓,training,capacitación
君,Jun,Jun
器,device,dispositivo
妻,wife,esposa
寬,Width,Ancho
架,shelf,estante
編,compile,compilar
偏,partial,parcial
楚,Chu,Chu
泥,mud,lodo
飯,meal,comida
柔,soft,suave
牽,lead,dirigir
畢,complete,completo
貿,trade,comercio
夏,summer,verano
廠,factory,fábrica
敢,dare,atrevimiento
皆,all,todo
哀,sorrow,pena
寒,cold,frío
欣,happy,feliz
置,set,colocar
銷,pin,alfiler
隊,Team,Equipo
刀,knife,cuchillo
掛,hang,colgar
殺,kill,matar
縣,county,condado
遭,suffered,sufrió
旁,beside,al lado de
船,Boat,Bote
鼓,drum,tambor
勝,win,ganar
卡,Card,Tarjeta
堆,heap,montón
弱,weak,débil
植,plant,planta
蘭,orchid,orquídea
右,right,bien
彼,Him,A él
癌,cancer,cáncer
登,board,junta
競,compete,competir
飄,float,flotar
堂,hall,sala
妹,sister,hermana
島,island,isla
床,bed,cama
染,dye,teñir
渡,cross,cruz
警,police,policía
貪,greedy,avaro
魚,fish,pez
劉,Liu,Liu
擴,expand,expandir
桌,table,mesa
溝,ditch,zanja
濃,concentrated,concentrado
虛,empty,vacío
巴,-bar,-bar
憲,constitution,constitución
欲,want,desear
毛,hair,cabello
牛,ox,buey
絲,Silk,Seda
複,complex,complejo
凡,Fan,Admirador
吉,lucky,afortunado
喝,drink,beber
域,domain,dominio
幫,help,ayuda
材,material,material
股,share,compartir
仰,admire,admirar
尼,Nigeria,Nigeria
招,trick,truco
麻,numb,adormecer
刺,prick,pinchazo
挑,pick,elegir
旅,trip,viaje
暴,violence,violencia
盛,prosperous,próspero
藏,Tibetan,tibetano
諸,various,varios
刊,journal,diario
套,set,colocar
媒,media,medios de comunicación
搖,shake,agitar
敗,defeat,fracaso
朵,Duo,Dúo
附,attached,adjunto
昨,yesterday,ayer
耳,Ear,Oreja
胸,chest,pecho
貨,goods,bienes
輝,Hui,hui
隔,separated,apartado
介,between,entre
吹,blow,explotar
抽,smoke,fumar
映,reflect,reflejar
秘,secret,secreto
納,accept,aceptar
豐,rich,rico
輪,wheel,rueda
帝,emperor,emperador
彷,imitation,imitación
愁,worry,preocuparse
泰,Thai,tailandés
衡,balance,balance
跑,run,correr
乏,lack,falta
奔,run,correr
幻,magical,mágico
怨,blame,culpa
懂,Understand,Entender
昏,faint,débil
牌,Card,Tarjeta
築,build,construir
荒,shortage,escasez
鬧,noisy,ruidoso
孔,hole,agujero
恨,hatred,odio
晨,morning,mañana
睛,eye,ojo
誤,error,error
趕,rush,correr
齊,together,juntos
垂,hang down,colgar
寶,precious,precioso
慣,used,usado
擺,put,poner
替,for,para
茶,Tea,Té
融,melt,derretir
賞,reward,premio
骨,bone,hueso
塵,dust,polvo
宜,should,debería
州,state,estado
廳,hall,sala
彿,Buddha,Buda
攤,stall,parar
涉,involve,involucrar
緒,thread,hilo
緩,slow,lento
縱,vertical,vertical
聚,gather,recolectar
鏡,mirror,espejo
鳥,bird,pájaro
姻,marriage,casamiento
揚,Yang,yang
測,test,prueba
牠,it,él
硬,hard,duro
縮,shrink,encoger
谷,valley,valle
趨,trend,tendencia
遷,move,mover
射,shoot,disparar
干,Dry,Seco
橋,bridge,puente
距,distance,distancia
轎,sedan chair,silla de manos
郭,Guo,guo
佔,occupy,ocupar
尺,ruler,gobernante
敬,respect,respeto
枝,branch,rama
混,mix,mezcla
灰,Ash,Ceniza
狗,dog,perro
竹,bamboo,bambú
罪,crime,delito
雞,chicken,pollo
餐,meal,comida
伸,stretch,estirar
嘴,Mouth,Boca
巧,skillful,hábil
彭,Peng,Peng
獻,offer,oferta
磨,grind,moler
籍,membership,afiliación
壯,strong,fuerte
控,control,control
杜,Du,Du
毫,millimeter,milímetro
牙,tooth,diente
載,load,carga
雷,thunder,trueno
顆,grain,grano
佛,Buddha,Buda
兵,soldiers,soldados
培,train,tren
審,trial,ensayo
旦,dawn,amanecer
淋,shower,ducha
蓋,build,construir
奮,work hard,atarearse
窮,poverty,pobreza
罷,stop,detener
賽,race,carrera
陷,trap,trampa
頗,quite,bastante
飲,drink,beber
俗,vulgar,vulgar
婆,Po,Correos
幅,frame,marco
暫,temporarily,temporalmente
曹,Cao,cao
杯,cup,taza
滋,Zi,zi
牆,wall,muro
監,supervise,supervisar
糖,sugar,azúcar
膽,courage,coraje
莊,village,aldea
陰,Negative,Negativo
倫,London,Londres
嘗,taste,gusto
宗,Zong,Zong
擾,disturb,molestar
敏,sensitive,sensible
款,payment,pago
鬥,fight,luchar
齡,age,edad
俄,Russian,ruso
抬,lift,elevar
柯,Ke,ke
殘,disabled,desactivado
涼,cold,frío
湧,gushing,efusivo
番,Fan,Admirador
符,symbol,símbolo
累,tired,cansado
藍,blue,azul
閃,flash,destello
雅,elegant,elegante
孫,sun,sol
板,plate,lámina
森,forest,bosque
碎,broken,roto
鬆,loose,perder
丈,ten feet,diez pies
京,Beijing,Pekín
喪,funeral,funeral
拜,bye,adiós
珍,Jane,jane
甘,sweet,dulce
跡,trace,rastro
返,return,devolver
促,promote,promover
哲,Zhe,Zhe
喊,call,llamar
巨,huge,enorme
拍,shoot,disparar
穩,stable,estable
貧,poor,pobre
付,pay,pagar
估,estimate,estimar
儘,exhaust,escape
凝,condense,condensar
啟,start,comenzar
妙,wonderful,maravilloso
旗,flag,bandera
昇,Lift,Elevar
礦,mine,mío
耶,yeah,sí
脅,threaten,amenazar
辛,pungent,acre
辭,Ci,Ci
兄,Brother,Hermano
哭,cry,llorar
屆,session,sesión
廢,waste,desperdiciar
暖,warm,cálido
橫,horizontal,horizontal
猶,still,aún
聖,holy,santo
菊,chrysanthemum,crisantemo
貌,appearance,apariencia
賴,rely,confiar
霧,fog,niebla
仔,young,joven
勇,brave,corajudo
寞,lonely,solitario
封,seal up,sellar
洗,wash,lavar
琴,piano,piano
諾,promise,promesa
辯,debate,debate
週,week,semana
麥,wheat,trigo
伴,companion,compañero
幕,screen,pantalla
敘,narrate,narrar
涵,Han,han
裂,crack,grieta
壁,wall,muro
弄,alley,callejón
慧,Wisdom,Sabiduría
焦,focus,enfocar
痕,mark,marca
薄,Thin,Delgado
裁,cut,cortar
迴,return,devolver
邱,Qiu,Qiu
障,barrier,barrera
坡,slope,pendiente
季,season,estación
淨,net,neto
疾,disease,enfermedad
皇,emperor,emperador
肅,solemn,solemne
描,trace,rastro
核,nuclear,nuclear
爬,climb,trepar
蓮,lotus,loto
訂,order,orden
仁,Benevolence,Benevolencia
坦,Tan,Broncearse
奈,nano,nanómetro
滴,drop,gota
災,disaster,desastre
瑞,Rui,rui
盤,plate,lámina
輸,lose,perder
逃,escape,escapar
遙,remote,remoto
魂,soul,alma
姿,posture,postura
徹,thorough,exhaustivo
搬,move,mover
爐,furnace,horno
盼,hope,esperanza
祝,wish,desear
稍,a little,un poco
胞,cells,células
踏,tread,pisada
迎,welcome,bienvenido
博,Bo,Bo
姓,surname,apellido
姊,sister,hermana
寄,send,enviar
幹,Dry,Seco
幽,quiet,tranquilo
末,end,fin
犯,commit,comprometerse
督,Governor,Gobernador
稿,draft,borrador
肩,shoulder,hombro
脈,pulse,legumbres
貢,tribute,homenaje
閱,read,leer
闊,wide,ancho
飾,Decorate,Decorar
塑,plastic,plástico
泛,pan-,cacerola-
溪,creek,arroyo
礎,foundation,base
米,rice,arroz
售,for sale,en venta
孕,pregnant,embarazada
川,Sichuan,Sichuan
幣,currency,divisa
怒,anger,enojo
肪,fat,gordo
裕,Yu,Yu
冬,winter,invierno
匆,hasty,apresurado
宇,Yu,Yu
忌,avoid,evitar
忠,Loyal,Leal
旋,spin,girar
洛,Luo,luo
煩,bother,molestar
粗,thick,grueso
芙,Fu,fu
豈,Qi,chi
躍,jump,saltar
顏,Yan,yan
勵,encourage,alentar
圈,lock up,encerrar
奏,play,jugar
悅,Joy,Alegría
慎,Be cautious,Ten cuidado
拒,refuse,rechazar
擦,wipe,limpiar
曉,dawn,amanecer
燒,burn,quemar
秀,show,espectáculo
伯,uncle,tío
佳,good,bien
哈,ha,Ja
戴,Wear,Tener puesto
按,according to,de acuerdo a
珠,beads,rosario
誌,ambition,ambición
豆,bean,frijol
邦,state,estado
頻,frequency,frecuencia
魯,Lu,Lu
咖,coffee,café
啡,coffee,café
埋,bury,enterrar
堪,worthy,valioso
措,measures,medidas
擠,squeeze,estrujar
槍,gun,pistola
洞,Hole,Agujero
滅,destroy,destruir
濫,indiscriminate,indistinto
碧,Bi,Bi
糊,paste,pasta
署,Department,Departamento
讚,praise,elogio
賢,virtuous,virtuoso
鬱,Depressed,Deprimido
鬼,ghost,fantasma
佈,cloth,paño
娘,mother,madre
崇,worship,culto
損,damage,daño
操,Hold,Sostener
殊,special,especial
疏,sparse,escaso
羽,feather,pluma
軟,soft,suave
逝,pass away,pasar
遲,Late,Tarde
呈,submit,entregar
獎,award,otorgar
巿,city,ciudad
拋,throw,tirar
振,vibrate,vibrar
璃,glass,vaso
盆,pot,olla
瞭,Got it,Entiendo
簽,sign,firmar
網,net,neto
茫,vast,vasto
違,Violate,Violar
閉,close,cerca
傘,umbrella,paraguas
兼,simultaneous,simultáneo
匯,exchange,intercambio
哪,where,dónde
